Name,Species,DateTime,Latitude,Longitude
bp160609-36,bp,6/9/16 08:26:28,38.6332,-27.4070
bp160609-26a,bp,6/9/16 09:28:40,38.6396,-27.4031
mn160619-21,mn,6/19/16 08:07:46,41.1891,-70.1097
bp150619-3b,bp,6/19/15 15:28:40,41.4683,-69.6825
mn170615-40b,mn,6/15/17 13:38:12,41.5912,-69.6277
mn170615-30,mn,6/15/17 09:57:44,41.5934,-69.6332
mn170615-40a,mn,6/15/17 12:43:59,41.5976,-69.6219
mn170613-40,mn,6/13/17 13:17:21,41.6024,-69.5962
mn170613-20,mn,6/13/17 11:55:13,41.6054,-69.6160
mn170612-21,mn,6/12/17 12:46:20,41.6334,-69.6362
mn170612-40,mn,6/12/17 08:54:36,41.6341,-69.6344
mn170612-30,mn,6/12/17 09:07:33,41.6361,-69.6341
mn170612-10a,mn,6/12/17 10:48:27,41.6431,-69.6073
mn170612-10b,mn,6/12/17 11:56:47,41.6467,-69.6084
bp150619-2c,bp,6/19/15 16:34:44,41.6849,-69.6657
mn150622-4,mn,6/22/15 13:33:55,41.6944,-69.7141
bp150619-3a,bp,6/19/15 14:31:15,41.6970,-69.6786
mn150622-2,mn,6/22/15 12:48:28,41.6985,-69.7220
bp150619-2b,bp,6/19/15 14:17:15,41.7004,-69.6748
bp150619-2a,bp,6/19/15 13:49:06,41.7067,-69.6888
mn160615-37,mn,6/15/16 13:59:15,41.7087,-69.8048
mn160615-36,mn,6/15/16 13:51:47,41.7089,-69.7996
mn150618-4,mn,6/18/15 09:34:22,41.7950,-69.7053
mn160616-26,mn,6/16/16 16:15:30,41.9578,-69.9111
mn160617-37,mn,6/17/16 16:25:31,42.0513,-69.9465
mn160617-25 ,mn,6/17/16 17:32:24,42.0566,-70.0079
bp150616-4,bp,6/16/15 13:27:59,42.1399,-70.2022
mn160622-25,mn,6/22/16 10:51:26,42.1863,-70.1662
mn160619-36,mn,6/19/16 08:00:05,42.1869,-70.1106
mn160622-36,mn,6/22/16 08:02:38,42.1882,-70.1626
mn160619-25b,mn,6/19/16 08:37:30,42.1949,-70.1179
er160407-25,er,4/7/16 13:55:33,47.9850,-122.3093
er160325-25b,er,3/25/16 18:01:41,47.9906,-122.2838
er160325-22,er,3/25/16 08:31:11,47.9990,-122.2968
er150419-5,er,4/19/15 17:34:29,47.9994,-122.2827
er160325-25a,er,3/25/16 14:38:50,48.0014,-122.2862
er150417-3,er,4/17/15 10:14:09,48.0029,-122.2931
er160406-21,er,4/6/16 15:51:54,48.0038,-122.2594
er160505-25,er,5/5/16 13:53:01,48.0125,-122.3071
er160505-22,er,5/5/16 13:17:44,48.0215,-122.3162
er150419-3,er,4/19/15 08:55:23,48.0242,-122.3184
bp170907-41b,bp,9/7/17 14:13:45,65.4189,-37.8651
bp170907-41a,bp,9/7/17 13:27:30,65.4306,-37.8858
mn170908-44,mn,9/8/17 12:22:48,65.6121,-37.2790
mn170912-43,mn,9/12/17 14:26:34,65.8345,-38.1032
mn170912-42,mn,9/12/17 16:05:55,65.8601,-38.2615
mn160121-4k4,mn,1/21/16 10:20:03,69.1853,16.0216
oo160125-10,oo,1/25/16 13:53:53,69.3102,16.1641
mn161105-37,mn,,-33.0530,17.9509
mn161105-36,mn,11/5/16 08:32:09,-33.0590,17.8667
mn161106-36b,mn,11/6/16 10:04:22,-33.0859,17.9314
mn161107-36a,mn,11/7/16 08:20:04,-33.0940,17.9329
mn161107-36b,mn,11/7/16 09:18:59,-33.0963,17.9236
